title,salary,city,raw_text
大数据分析工程师,12-20K,南京·建邺区·奥体,"大数据分析工程师
-K
5-10年
本科
睿希科技
南京·建邺区·奥体"
数据分析师,6-11K,南京·建邺区·奥体,"数据分析师
-K
3-5年
大专
搜新智能
南京·建邺区·奥体"
数据分析师,12-20K,南京,"数据分析师
-K·薪
3-5年
本科
励达咨询
南京"
数据分析师（Digital Data Analyst）,10-15K,未知,"数据分析师（Digital Data Analyst）
-K
3-5年
本科
创数
南京·雨花台区·宁南"
数据分析师,12-15K,南京·溧水区·柘塘,"数据分析师
-K
1-3年
本科
江苏合一
南京·溧水区·柘塘"
大数据分析工程师,15-18K,未知,"大数据分析工程师
-K
3-5年
本科
江苏希地丰华项目管理
南京·雨花台区·安德门"
数据分析,8-9K,南京·建邺区·江东,"数据分析
-K
3-5年
大专
华苏科技
南京·建邺区·江东"
python数据分析师,11-14K,南京·建邺区·奥体,"python数据分析师
-K
5-10年
大专
新华三技术有限公司
南京·建邺区·奥体"
python数据分析师,15-20K,南京·江宁区·东山,"python数据分析师
-K
3-5年
本科
物媒码科技有限公司
南京·江宁区·东山"
数据分析师（双休）,10-15K,未知,"数据分析师（双休）
-K
3-5年
本科
纬创软件
南京·雨花台区·安德门"
大数据产品经理,15-22K,南京·溧水区·柘塘,"大数据产品经理
-K
5-10年
本科
江苏合一
南京·溧水区·柘塘"
助理数据分析师,10-15K,未知,"助理数据分析师
-K·薪
1-3年
本科
vivo
南京·雨花台区·小行"
数据分析师,5-10K,未知,"数据分析师
-K
1-3年
本科
风影科技
南京·浦口区·弘阳广场"
股票交易策略分析师,10-15K,南京·江宁区·东山,"股票交易策略分析师
-K
5-10年
本科
启泰安全
南京·江宁区·东山"
电芯体系大数据分析,30-45K,南京,"电芯体系大数据分析
-K·薪
1-3年
硕士
某大型知名新能源公司
南京"
数据分析师,11-22K,南京,"数据分析师
-K
3-5年
本科
多链互联
南京"
高级数据分析师,15-30K,未知,"高级数据分析师
-K·薪
5-10年
本科
南京凯唱软件有限公司
南京·玄武区·新街口"
高级数据分析师,12-17K,未知,"高级数据分析师
-K
3-5年
本科
Cupshe
南京·江宁区·岔路口"
数据分析岗,15-25K,南京,"数据分析岗
-K·薪
3-5年
本科
正大天晴
南京"
数据分析师,2-7K,未知,"数据分析师
-K
1年以内
本科
金心阳
南京·鼓楼区·湖南路"
大数据分析师,8-13K,南京基山,"大数据分析师
-K·薪
1年以内
本科
南京基山
南京·鼓楼区·山西路"
外汇分析师,20-40K,南京·栖霞区·尧化,"外汇分析师
-K
3-5年
本科
LOPAL
南京·栖霞区·尧化"
金融数据分析师,7-11K,未知,"金融数据分析师
-K
1-3年
本科
阿博茨科技
南京·雨花台区·安德门"
数据分析师,7-8K,未知,"数据分析师
-K
1-3年
本科
江苏易可家
南京·秦淮区·瑞金路"
高级项目经理 (数据挖掘/分析类项目),15-25K,未知,"高级项目经理 (数据挖掘/分析类项目)
-K
5-10年
本科
立趣
南京·秦淮区·新街口"
数据分析实施顾问,15-22K,未知,"数据分析实施顾问
-K·薪
3-5年
本科
南京国睿信维软件...
南京·雨花台区·安德门"
数据分析师,10-15K,未知,"数据分析师
-K
3-5年
本科
豪与杰电子科技
南京·鼓楼区·中央门"
数据分析师,10-13K,未知,"数据分析师
-K·薪
3-5年
本科
星烁信息
南京·江宁区·将军大道"
高级数据分析师,10-15K,南京·浦口区·江浦,"高级数据分析师
-K
1-3年
硕士
亿科人群健康研究院
南京·浦口区·江浦"
数据分析师,7-9K,南京领擎,"数据分析师
-K
3-5年
本科
南京领擎
南京"
数据分析师,56K,南京·建邺区·江东,"数据分析师
-K
1-3年
大专
刺豚文化
南京·建邺区·江东"
数据分析师,14-23K,南京,"数据分析师
-K
3-5年
本科
网眼信息技术
南京"
数据分析师,9-10K,未知,"数据分析师
-K
1-3年
本科
上海鲤哥咨询管理...
南京·建邺区·西善桥"
数据分析师,8-10K,南京新东方,"数据分析师
-K
1-3年
本科
南京新东方
南京·玄武区·丹凤街"
电商数据分析经理,6-8K,未知,"电商数据分析经理
-K
1-3年
学历不限
南京悟空供应链信...
南京·江宁区·竹山路沿线"
数据分析师,15-18K,南京华美美容医院,"数据分析师
-K
3-5年
本科
南京华美美容医院
南京·玄武区·新街口"
数据分析,8-12K,南京·建邺区·江东,"数据分析
-K·薪
1-3年
本科
南京圣都装饰有限公司
南京·建邺区·江东"
数据分析,6-11K,南京·浦口区·江浦,"数据分析
-K
1-3年
本科
谊品弘苏科技
南京·浦口区·江浦"
量化因子挖掘研究员（数据分析师）,20-40K,南京·建邺区·沙洲,"量化因子挖掘研究员（数据分析师）
-K
1-3年
硕士
江苏链集元宇宙研究院
南京·建邺区·沙洲"
数据分析师（工作地南京）,15-30K,未知,"数据分析师（工作地南京）
-K
3-5年
本科
北京中科聚信信息技术
南京·秦淮区·长白街"
数据分析专家,25-40K,南京·玄武区·红山,"数据分析专家
-K
5-10年
本科
南京博润蓝军网络科技
南京·玄武区·红山"
数据分析师（财务结算岗）,6-9K,未知,"数据分析师（财务结算岗）
-K
1-3年
本科
极兔速递
南京·江宁区·禄口机场"
数据分析师,10-15K,未知,"数据分析师
-K
1-3年
本科
北京趋享智能科技...
南京·秦淮区·夫子庙"
数据分析师,13-16K,未知,"数据分析师
-K
1-3年
本科
博彦科技承德有限公司
北京·海淀区·苏州桥"
数据分析师,25-50K,北京,"数据分析师
-K·薪
3-5年
本科
某大型已上市社交网络与媒体公司
北京"
高级数据分析师,40-50K,北京,"高级数据分析师
-K·薪
3-5年
本科
北京某中型互联网金融科技公司
北京"
数据分析师,25-30K,未知,"数据分析师
-K
1-3年
本科
小红书
北京·朝阳区·亚运村"
数据分析师,25-30K,北京,"数据分析师
-K·薪
3-5年
本科
某中型企业服务公司
北京"
数据分析师-[323074],8-12K,上海学获帮教育科技,"数据分析师-[323074]
-K
1年以内
本科
上海学获帮教育科技
北京·朝阳区·望京"
数据分析师,8-10K,北京·朝阳区·劲松,"数据分析师
-K
1-3年
本科
蜜熊科技
北京·朝阳区·劲松"
数据分析师,10-15K,北京·昌平区·沙河,"数据分析师
-K·薪
1-3年
本科
好未来
北京·昌平区·沙河"
数据分析师,20-30K,未知,"数据分析师
-K·薪
5-10年
本科
途家网
北京·海淀区·中关村"
数据分析师,15-25K,北京,"数据分析师
-K
3-5年
本科
玩娱互动
北京"
数据分析师,20-30K,未知,"数据分析师
-K
5-10年
本科
特斯拉 Tesla
北京·朝阳区·大望路"
数据分析师,6-10K,北京·昌平区·城南,"数据分析师
-K
3-5年
大专
高德地图
北京·昌平区·城南"
数据分析师,15-20K,北京,"数据分析师
-K
1-3年
本科
新涌激算
北京"
数据分析师,30-60K,北京,"数据分析师
-K·薪
3-5年
本科
某大型社交网络与媒体上市公司
北京"
数据分析师--自研,13-20K,版石软件(上海),"数据分析师--自研
-K
3-5年
本科
版石软件(上海)
北京·西城区·广安门"
高薪字节数据分析师（周末双休五险一金）,10-15K,北京,"高薪字节数据分析师（周末双休五险一金）
-K
1-3年
本科
帧尚文化
北京"
数据分析师,12-18K,北京·朝阳区·望京,"数据分析师
-K·薪
1-3年
本科
泡泡玛特POP MART
北京·朝阳区·望京"
数据分析师,11-22K,北京·丰台区·花乡,"数据分析师
-K·薪
5-10年
本科
南威软件
北京·丰台区·花乡"
