title,salary,city,raw_text
数据分析师,9-14K14新,南京·鼓楼区·山西路,"数据分析师
-K·薪
5-10年
本科
朗新科技集团
南京·鼓楼区·山西路"
数据分析师,5-10K,南京·浦口区·弘阳广场,"数据分析师
-K
1-3年
本科
风影科技
南京·浦口区·弘阳广场"
大数据分析工程师,15-18K,南京·雨花台区·安德门,"大数据分析工程师
-K
3-5年
本科
江苏希地丰华项目管理
南京·雨花台区·安德门"
数据分析师(J11990),15-25K1新,南京·秦淮区·红花,"数据分析师(J11990)
-K·薪
3-5年
本科
万辰集团
南京·秦淮区·红花"
数据分析师(电商),10-15K,南京·建邺区·江东,"数据分析师(电商)
-K
3-5年
本科
南阳禾牧农业有限公司
南京·建邺区·江东"
大数据分析工程师,12-24K1新,南京海康威视数字...,"大数据分析工程师
-K·薪
3-5年
本科
南京海康威视数字...
南京·江宁区·开发区"
商品运营文员（数据分析方向）,5-7K,南京,"商品运营文员（数据分析方向）
-K
1-3年
大专
初刻电商
南京"
高级项目经理 (数据挖掘/分析类项目),15-25K,南京·秦淮区·新街口,"高级项目经理 (数据挖掘/分析类项目)
-K
5-10年
本科
立趣
南京·秦淮区·新街口"
数据分析师,12-20K1新,南京,"数据分析师
-K·薪
3-5年
本科
励达咨询
南京"
电芯体系大数据分析,20-40K,南京某知名大型新能源公司,"电芯体系大数据分析
-K
3-5年
本科
南京某知名大型新能源公司
南京"
数据分析岗,15-25K1新,南京,"数据分析岗
-K·薪
3-5年
本科
正大天晴
南京"
数据分析师（财务结算岗）,6-9K,南京·江宁区·禄口机场,"数据分析师（财务结算岗）
-K
1-3年
本科
极兔速递
南京·江宁区·禄口机场"
市场调研数据分析师助理,5-10K,南京标象限标准技...,"市场调研数据分析师助理
-K
在校/应届
本科
南京标象限标准技...
南京·建邺区·西善桥"
高级数据分析师,12-17K,南京·江宁区·岔路口,"高级数据分析师
-K
3-5年
本科
Cupshe
南京·江宁区·岔路口"
大数据分析师,10-13K,南京·秦淮区·长白街,"大数据分析师
-K
3-5年
本科
亚信万联
南京·秦淮区·长白街"
数据分析师,10-13K1新,南京·江宁区·将军大道,"数据分析师
-K·薪
3-5年
本科
星烁信息
南京·江宁区·将军大道"
数据分析,8-10K14新,南京·建邺区·江东,"数据分析
-K·薪
1-3年
本科
无锡圣都家居
南京·建邺区·江东"
财务分析经理,11-20K1新,南京·玄武区·新街口,"财务分析经理
-K·薪
5-10年
本科
江苏快好多科技
南京·玄武区·新街口"
数据分析师,6-11K,南京·建邺区·奥体,"数据分析师
-K
3-5年
大专
搜新智能
南京·建邺区·奥体"
数据分析师-通信行业,10-15K,南京·建邺区·江东,"数据分析师-通信行业
-K
3-5年
本科
礼信达
南京·建邺区·江东"
市场数据分析师,8-12K,南京优越,"市场数据分析师
-K
3-5年
本科
南京优越
南京·建邺区·西善桥"
量化因子挖掘研究员（数据分析师）,20-40K,南京·建邺区·沙洲,"量化因子挖掘研究员（数据分析师）
-K
1-3年
硕士
江苏链集元宇宙研究院
南京·建邺区·沙洲"
数据统计分析师,10-15K,南京嘉植私募基金管理,"数据统计分析师
-K
1-3年
本科
南京嘉植私募基金管理
南京"
